product_id,product_name,category,subcategory,collection,width_mm,depth_mm,height_mm,width_available,depth_available,height_available,rough_in_mm,rough_in_available,installation_type,waste_outlet,electrical_required,voltage,power_w,power_available,material,color,feature_count,spatial_validation_possible,data_quality
1408991-IN4-A,SPAN® Square Vessel Without Deck ( Small),Other,Not specified,Not specified,344.0,483.0,141.0,True,True,True,-1.0,False,Above Counter,Not specified,False,Not specified,-1.0,False,Vitreous China,White,6,True,complete_for_spatial_use
29024IN-1,CHALICE ROUND VESSEL 1TAP HOLE,Vessel,Vessel,Not specified,470.0,116.0,139.0,True,True,True,-1.0,False,Above counter,Not specified,False,Not specified,-1.0,False,Vitreous China,White,5,True,complete_for_spatial_use
1311520-A04-D,Mica® Square 393mm Basin,BASINS / COUNTERTOP,Countertop Basin,Not specified,393.0,393.0,-1.0,True,True,False,50.0,True,Bench top installation,DN32 waste without overflow,False,Not specified,-1.0,False,Ceramic,"white, honed black",3,False,complete_with_unspecified_source_fields
K-12927IN,Complimentary™ Hygiene Spray,Other,Not specified,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Not specified,"Polished Chrome, Vibrant® French Gold, Vibrant® Brushed Nickel",5,False,complete_with_unspecified_source_fields
K-1381T-S,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",Toilet,One-piece elongated toilet,Veil,-1.0,-1.0,390.0,False,False,True,305.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Plastic seat,White,13,False,complete_with_unspecified_source_fields
K-17629T-NS,"Ove™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,One-piece toilet,Ove™,-1.0,-1.0,390.0,False,False,True,185.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Not specified,White,8,False,complete_with_unspecified_source_fields
K-17660T-M,Ove™ Quiet-Close™ elongated toilet seat,Toilet Seat,Not specified,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Not specified,Not specified,False,Not specified,-1.0,False,Plastic construction,White,6,False,complete_with_unspecified_source_fields
K-1851IN,Brive Plus,Other,Not specified,Not specified,-1.0,-1.0,395.0,False,False,True,180.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Not specified,White,7,False,complete_with_unspecified_source_fields
K-1853IN,Brive Plus,Other,Not specified,Not specified,-1.0,-1.0,395.0,False,False,True,220.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Not specified,White,6,False,complete_with_unspecified_source_fields
K-21226IN,"ModernLife Edge 600 mm rectangular vessel bathroom sink, no overflow",Sink,Vessel sink,ModernLife Edge,600.0,113.0,-1.0,True,True,False,-1.0,False,Vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,"Honed Black, Thunder grey, Honed Peacock, Honed Lush",6,False,complete_with_unspecified_source_fields
K-2200IN,Conical Bell™,Sink,Vessel sink,Not specified,413.0,-1.0,-1.0,True,False,False,464.0,True,Semi-recessed vessel,"Center drain, no overflow",False,Not specified,-1.0,False,Vitreous china,"White, Cashmere, Black",5,False,complete_with_unspecified_source_fields
K-23486IN-4ND,"Parallel™ Wall-mount bathroom sink faucet, 9.0 lpm",Faucet,Wall-mount bathroom sink faucet,Parallel,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium metal,"Polished Chrome, Vibrant French Gold, Vibrant Brushed Bronze, Matte Black, Vibrant Rose Gold, Vibrant Brushed Rose Gold",5,False,complete_with_unspecified_source_fields
K-23966IN-4ND,"KOHLER VIVE® Single-handle bathroom sink faucet, 7.0 lpm",Faucet,Single-handle bathroom sink faucet,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Single hole,Not specified,False,Not specified,-1.0,False,Premium metal construction,"Polished Chrome, Vibrant® French Gold, Matte Black, Vibrant Rose Gold",6,False,complete_with_unspecified_source_fields
K-23967IN-4ND,"KOHLER VIVE® Tall single-handle bathroom sink faucet, 5.5 lpm",Faucet,Tall single-handle bathroom sink faucet,VIVE,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Single hole,Drain sold separately,False,Not specified,-1.0,False,Premium metal construction,"Polished Chrome, Vibrant® French Gold, Matte Black, Vibrant Rose Gold",5,False,complete_with_unspecified_source_fields
K-25316IN,"Span™ 537 mm rectangular vessel bathroom sink with glazed underside, no overflow",Bathroom sink,Vessel sink,Not specified,537.0,-1.0,-1.0,True,False,False,-1.0,False,Vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,White,6,False,complete_with_unspecified_source_fields
K-2661IN,Vox™ 413 mm square vessel bathroom sink,Bathroom sink,Vessel,Vox™,413.0,413.0,-1.0,True,True,False,-1.0,False,Semi-recessed vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,"White, Black",4,False,complete_with_unspecified_source_fields
K-27477IN-4ND,"Fore Tri® Single-handle bathroom sink faucet, 19.2 lpm",Faucet,Single-handle bathroom sink faucet,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Deck-mount,Not specified,False,Not specified,-1.0,False,Premium material,Polished Chrome,9,False,complete_with_unspecified_source_fields
K-27480IN-4ND,"Fore Line™ Tall single-handle bathroom sink faucet, 11.0 lpm",Faucet,Bathroom sink faucet,Fore Line™,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Deck-mount,Not specified,False,Not specified,-1.0,False,Premium material,"Polished Chrome, Vibrant® French Gold",9,False,complete_with_unspecified_source_fields
K-27485IN-4,"Fore Line™ Single-handle bathroom sink faucet, cold only, 18.4 lpm",Faucet,Not specified,Fore Line™,-1.0,96.0,86.0,False,True,True,-1.0,False,"Deck-mount, single-hole installation",Not specified,False,Not specified,-1.0,False,Premium metal construction,"Polished Chrome, Vibrant® French Gold",10,False,complete_with_unspecified_source_fields
K-28529IN,"Leap™ One-piece round-front smart toilet, dual-flush",Toilet,One-piece round-front smart toilet,Not specified,-1.0,-1.0,400.0,False,False,True,305.0,True,Floor-mount,Floor,True,220-240 V,1200.0,True,Plastic seat,White,19,False,complete_with_unspecified_source_fields
K-28784IN,"KOHLER VIVE® 552 mm rectangular vessel bathroom sink, no overflow",Bathroom Sink,Vessel,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Semi-recessed vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,"White, Cashmere, Black, Indigo Gloss, Teak Berry",6,False,complete_with_unspecified_source_fields
K-33123IN-HC,"KOHLER VIVE Hidden cord one-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,Not specified,Vive,-1.0,-1.0,400.0,False,False,True,220.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Not specified,White,11,False,complete_with_unspecified_source_fields
