product_id,product_name,category,subcategory,collection,width_mm,depth_mm,height_mm,rough_in_mm,installation_type,waste_outlet,electrical_required,voltage,power_w,material,color,features
1408991-IN4-A,SPAN® Square Vessel Without Deck ( Small),Other,Not specified,Not specified,344.0,483.0,141.0,-1.0,Above Counter,Not specified,False,Not specified,-1.0,Vitreous China,['White'],"['Ergonomic and Straight line design suitable for compact rooms with deck space.', 'Easy installation as it requires counter cutting to accommodate drain only.', 'Optimum Depth to contain Splashes.', 'Above counter without faucet deck.', 'Only drain cutting (no profile cutting required).', 'Without Overflow Hole']"
29024IN-1,CHALICE ROUND VESSEL 1TAP HOLE,Vessel,Vessel,Not specified,470.0,116.0,139.0,-1.0,Above counter,Not specified,False,Not specified,-1.0,Vitreous China,['White'],"['Vitreous China', 'Circular Design', 'Without Overflow', 'Above counter', 'Only Drain cutting (no profile cutting required)']"
1311520-A04-D,Mica® Square 393mm Basin,BASINS / COUNTERTOP,Countertop Basin,Not specified,393.0,393.0,-1.0,50.0,Bench top installation,DN32 waste without overflow,False,Not specified,-1.0,Ceramic,"['white', 'honed black']","['Bench top installation', 'Slim vessel', 'CleanCoatTM - stain resistant & easy to clean']"
K-12927IN,Complimentary™ Hygiene Spray,Other,Not specified,Not specified,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Not specified,"['Polished Chrome', 'Vibrant® French Gold', 'Vibrant® Brushed Nickel']","['Designed to coordinate with a range of KOHLER faucets', 'Thread = G 1/2', 'Includes wall-mount bracket', 'Includes hose', 'Handshower rated max flow: 3.3 gal/min (12.5 l/min)']"
K-1381T-S,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",Toilet,One-piece elongated toilet,Veil,-1.0,-1.0,390.0,305.0,Floor-mount,Floor,False,Not specified,-1.0,Plastic seat,['White'],"['One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design', 'Elongated bowl offers added room and comfort', 'Dual-flush offers a choice of 0.8 or 1.28 gpf (3.0 or 4.5 lpf)', 'Washdown flushing system', 'Left-hand Polished Chrome trip lever', '52 mm (2 inch) fully glazed trapway', 'Fully skirted trapway simplifies cleaning', 'Seat and lid included', 'Quiet-Close™ functionality to prevent seat from slamming', 'Quick-Attach™ hardware for fast and secure installation', 'Quick-Release™ functionality allows seat to be removed easily from toilet for convenient cleaning', 'Coordinates with other products in the Veil collection', 'Compatible with C3™ and PureWash™ electronic bidet seats (sold separately)']"
K-17629T-NS,"Ove™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,One-piece toilet,Ove™,-1.0,-1.0,390.0,185.0,Floor-mount,Floor,False,Not specified,-1.0,Not specified,['White'],"['One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design', 'Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms', 'Rim-to-floor height: 390 mm (15-3/8 inches)', 'Top-mount Polished Chrome dual-flush button offers a choice of 0.8 or 1.6 gpf (3.0 or 6.0 lpf)', '58 mm (2-5/16 inch) fully glazed trapway', 'Fully skirted trapway simplifies cleaning', 'Coordinates with other products in the Ove™ collection', 'Compatible with C3™ toilet seats and the Ove™ Quiet-Close toilet seat and lid (sold separately)']"
K-17660T-M,Ove™ Quiet-Close™ elongated toilet seat,Toilet Seat,Not specified,Not specified,-1.0,-1.0,-1.0,-1.0,Not specified,Not specified,False,Not specified,-1.0,Plastic construction,['White'],"['Elongated closed-front seat with lid', 'Quiet-Close™ functionality to prevent seat from slamming', 'ReadyLatch™ hinge provides a positive lock/unlock latch to securely hold seat in position, yet seat easily removes for cleaning or adjusting fit', 'Quick-Release™ functionality allows seat to be removed easily from toilet for convenient cleaning', 'Quick-Attach™ hardware for fast and secure installation', 'Grip-Tight bumpers hold seat firmly in place']"
K-1851IN,Brive Plus,Other,Not specified,Not specified,-1.0,-1.0,395.0,180.0,Floor-mount,Floor,False,Not specified,-1.0,Not specified,['White'],"['Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms', 'Rim-to-floor height: 15.55 inches (395 mm)', 'Washdown flushing system', '65 mm (2-1/2 inch) fully glazed trapway', 'Concealed trapway brings an enhanced design to the bathroom and facilitates easy cleaning', 'Antimicrobial finish inhibits the growth of mold-, mildew-, stain-, and odor-causing bacteria on the fixture surface', 'Bowl only; requires tank and toilet seat (sold separately)']"
K-1853IN,Brive Plus,Other,Not specified,Not specified,-1.0,-1.0,395.0,220.0,Floor-mount,Floor,False,Not specified,-1.0,Not specified,['White'],"['Elongated bowl offers added room and comfort', 'Rim-to-floor height: 15.55 inches (395 mm)', 'Washdown flushing system', '2 inch (51 mm) fully glazed trapway', 'Concealed trapway brings an enhanced design to the bathroom and facilitates easy cleaning', 'Bowl only; requires tank and toilet seat (sold separately)']"
K-21226IN,"ModernLife Edge 600 mm rectangular vessel bathroom sink, no overflow",Sink,Vessel sink,ModernLife Edge,600.0,113.0,-1.0,-1.0,Vessel,Not specified,False,Not specified,-1.0,Vitreous china,"['Honed Black', 'Thunder grey', 'Honed Peacock', 'Honed Lush']","['Contemporary design makes a modern statement', 'Rectangular basin with rounded corners', 'No faucet holes; requires wall- or deck-mount faucet', 'Without overflow', 'Part of the ModernLife Edge collection', 'Faucet and drain sold separately']"
K-2200IN,Conical Bell™,Sink,Vessel sink,Not specified,413.0,-1.0,-1.0,464.0,Semi-recessed vessel,"Center drain, no overflow",False,Not specified,-1.0,Vitreous china,"['White', 'Cashmere', 'Black']","['Traditional design creates a classic look', 'Round basin', 'No faucet holes; requires wall- or tall deck-mount faucet', 'Center drain, no overflow', 'Glazed underside offers beauty from all angles']"
K-23486IN-4ND,"Parallel™ Wall-mount bathroom sink faucet, 9.0 lpm",Faucet,Wall-mount bathroom sink faucet,Parallel,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium metal,"['Polished Chrome', 'Vibrant French Gold', 'Vibrant Brushed Bronze', 'Matte Black', 'Vibrant Rose Gold', 'Vibrant Brushed Rose Gold']","['Single handle controls both on/off activation and temperature setting', '164 mm spout reach', '9.0 lpm maximum flow rate at 3.0 bar', 'KOHLER ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Coordinates with other products in the Parallel collection']"
K-23966IN-4ND,"KOHLER VIVE® Single-handle bathroom sink faucet, 7.0 lpm",Faucet,Single-handle bathroom sink faucet,Not specified,-1.0,-1.0,-1.0,-1.0,Single hole,Not specified,False,Not specified,-1.0,Premium metal construction,"['Polished Chrome', 'Vibrant® French Gold', 'Matte Black', 'Vibrant Rose Gold']","['Single handle controls both on/off activation and temperature setting', 'Spout height 2-13/32"" (61 mm)', 'Spout reach 4-5/8"" (117 mm)', 'Maximum flow rate 1.8 gpm (7.0 lpm) at 43.5 psi (3.0 bar)', 'Premium metal construction for durability and reliability', 'KOHLER finishes resist corrosion and tarnishing']"
