pdf,product_id,product_name,category,status,validation_problems
1408991-IN4.pdf,1408991-IN4-A,SPAN® Square Vessel Without Deck ( Small),,success,Missing category
29024IN-1_Chalice w deck vessel.pdf,29024IN-1,CHALICE ROUND VESSEL 1TAP HOLE,Vessel,success,
90011T.pdf,1311520-A04-D,Mica® Square 393mm Basin,BASINS / COUNTERTOP,success,Missing height
K-12925IN_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/dimensions`: expected object, but got null, `/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Faucet"",\n  ""collection"": ""Complementary™"",\n  ""product_id"": ""K-12925IN"",\n  ""product_name"": ""Complementary™ Health faucet, 11.7 lpm"",\n  ""subcategory"": ""Health faucet"",\n  ""color"": [""Polished Chrome"", ""Vibrant® French Gold"", ""Vibrant Rose Gold""],\n  ""dimensions"": null,\n  ""electrical"": null,\n  ""features"": [\n    ""Includes 39.37 inch (1000 mm) hose and wall-mount holder"",\n    ""3.09 gpm (11.7 lpm) flow rate at 43.51 psi (3 bar)""\n  ],\n  ""installation"": {\n    ""type"": ""Wall-mount"",\n    ""rough_in_mm"": null,\n    ""waste_outlet"": null\n  },\n  ""material"": null\n}}'}}"
K-12927IN_spec_IN_Kohler_en.pdf,K-12927IN,Complimentary™ Hygiene Spray,,success,Missing category; Missing width; Missing depth; Missing height
K-1381T-S_spec_CN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Toilet"",\n  ""collection"": ""Veil"",\n  ""color"": [""White""],\n  ""dimensions"": {\n    ""height_mm"": 390,\n    ""depth_mm"": null,\n    ""width_mm"": null\n  },\n  ""electrical"": null,\n  ""features"": [\n    ""One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design"",\n    ""Elongated bowl offers added room and comfort"",\n    ""Rim-to-floor height: 15.35 inches (390 mm)"",\n    ""Dual-flush offers a choice of 0.8 or 1.28 gpf (3.0 or 4.5 lpf)"",\n    ""Washdown flushing system"",\n    ""Left-hand Polished Chrome trip lever"",\n    ""52 mm (2 inch) fully glazed trapway"",\n    ""Fully skirted trapway simplifies cleaning"",\n    ""Seat and lid included"",\n    ""Quiet-Close™ functionality to prevent seat from slamming"",\n    ""Quick-Attach™ hardware for fast and secure installation"",\n    ""Quick-Release™ functionality allows seat to be removed easily from toilet for convenient cleaning"",\n    ""Coordinates with other products in the Veil collection"",\n    ""Compatible with C3™ and PureWash™ electronic bidet seats (sold separately)""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": 305,\n    ""type"": ""Floor-mount"",\n    ""waste_outlet"": ""Floor""\n  },\n  ""material"": ""Plastic seat"",\n  ""product_id"": ""K-1381T-S"",\n  ""product_name"": ""Veil™ One-piece elongated toilet with skirted trapway, dual-flush"",\n  ""subcategory"": ""One-piece elongated toilet""\n}}'}}"
K-1381T-S_spec_IN_Kohler_en.pdf,K-1381T-S,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",Toilet,success,Missing width; Missing depth
K-15848T_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Bath"",\n  ""collection"": ""Reach™"",\n  ""product_name"": ""Reach™ drop-in bath"",\n  ""product_id"": ""K-15848T"",\n  ""subcategory"": ""Drop-in Bath"",\n  ""color"": [""White""],\n  ""material"": ""Acrylic"",\n  ""dimensions"": {\n    ""width_mm"": 1700,\n    ""depth_mm"": 700,\n    ""height_mm"": 460\n  },\n  ""features"": [\n    ""Rectangular basin creates a spacious bathing experience"",\n    ""Drop-in design creates a seamless bathroom aesthetic"",\n    ""Round overflow"",\n    ""12-11/16\\"" (322 mm) soaking depth"",\n    ""Integral lumbar support"",\n    ""Easy-to-clean, durable high-gloss finish"",\n    ""Lumbar angle 30°""\n  ],\n  ""installation"": {\n    ""type"": ""Drop-in"",\n    ""rough_in_mm"": null,\n    ""waste_outlet"": null\n  },\n  ""electrical"": null\n}}'}}"
K-17629T-NS_spec_CN_Kohler_en (1).pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/color`: expected array, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Toilet"",\n  ""collection"": ""Ove™"",\n  ""color"": null,\n  ""dimensions"": {\n    ""height_mm"": 390,\n    ""width_mm"": null,\n    ""depth_mm"": null\n  },\n  ""electrical"": {\n    ""power_w"": null,\n    ""required"": null,\n    ""voltage"": null\n  },\n  ""features"": [\n    ""One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design"",\n    ""Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms"",\n    ""Rim-to-floor height: 15.35 inches (390 mm)"",\n    ""Top-mount Polished Chrome dual-flush button offers a choice of 0.8 or 1.6 gpf (3.0 or 6.0 lpf)"",\n    ""2.3 inch (58 mm) fully glazed trapway"",\n    ""Fully skirted trapway simplifies cleaning"",\n    ""Coordinates with other products in the Ove™ collection"",\n    ""Compatible with C3™ toilet seats and the Ove™ Quiet-Close toilet seat and lid (sold separately)""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": 185,\n    ""type"": ""Floor-mount"",\n    ""waste_outlet"": ""Floor""\n  },\n  ""material"": null,\n  ""product_id"": ""K-17629T-NS"",\n  ""product_name"": ""Ove™ One-piece round-front toilet with skirted trapway, dual-flush"",\n  ""subcategory"": ""One-piece round-front toilet""\n}}'}}"
K-17629T-NS_spec_CN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/color`: expected array, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Toilet"",\n  ""collection"": ""Ove™"",\n  ""product_id"": ""K-17629T-NS"",\n  ""product_name"": ""Ove™ One-piece round-front toilet with skirted trapway, dual-flush"",\n  ""subcategory"": ""One-piece toilet"",\n  ""color"": null,\n  ""dimensions"": {\n    ""height_mm"": 390,\n    ""width_mm"": null,\n    ""depth_mm"": null\n  },\n  ""electrical"": {\n    ""required"": false,\n    ""power_w"": null,\n    ""voltage"": null\n  },\n  ""features"": [\n    ""One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design"",\n    ""Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms"",\n    ""Top-mount Polished Chrome dual-flush button offers a choice of 0.8 or 1.6 gpf (3.0 or 6.0 lpf)"",\n    ""2.3 inch (58 mm) fully glazed trapway"",\n    ""Fully skirted trapway simplifies cleaning"",\n    ""Coordinates with other products in the Ove™ collection"",\n    ""Compatible with C3™ toilet seats and the Ove™ Quiet-Close toilet seat and lid (sold separately)"",\n    ""Flush type: Washdown"",\n    ""Trap passageway: 2\\"" (51 mm)"",\n    ""Rim to water surface: 9-7/8\\"" (251 mm)""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": 185,\n    ""type"": ""Floor-mount"",\n    ""waste_outlet"": ""Floor""\n  },\n  ""material"": null\n}}'}}"
